CODGEO,P14_POP
01001,767
01002,239
01004,14022
01005,1627
01006,109
01007,2570
01008,743
01009,338
01010,1142
01011,397
01012,325
01013,157
01014,3405
01015,638
01016,440
01017,427
01019,23
01021,1376
01022,1193
01023,66
01024,3386
01025,3177
01026,881
01027,2973
01028,585
01029,678
01030,886
01031,3656
01032,3296
01033,11745
01034,8983
01035,321
01036,549
01037,282
01038,731
01039,467
01040,477
01041,749
01042,265
01043,4541
01044,595
01045,285
01046,818
01047,972
01049,2932
01050,323
01051,88
01052,300
01053,40967
01054,1270
01056,370
01057,512
01058,861
01059,96
01060,549
01061,1186
01062,826
01063,514
01064,973
01065,1754
01066,71
01067,263
01068,764
01069,1466
01071,4797
01072,3068
01073,1007
01074,2408
01075,1234
01076,151
01077,185
01078,1377
01079,821
01080,669
01081,730
01082,648
01083,864
01084,780
01085,379
01087,284
01088,931
01089,1999
01090,332
01091,3311
01092,1568
01093,4956
01094,746
01095,648
01096,993
01097,219
01098,850
01099,1530
01100,139
01101,157
01102,957
01103,1459
01104,461
01105,1489
01106,173
01107,136
01108,1198
01109,2163
01110,130
01111,118
01112,416
01113,828
01114,563
01115,1326
01116,508
01117,147
01118,1236
01119,
01121,113
01122,805
01123,1089
01124,665
01125,619
01127,508
01128,291
01129,266
01130,1414
01133,384
01134,1719
01135,2086
01136,832
01138,3029
01139,451
01140,771
01141,415
01142,4441
01143,9100
01144,888
01145,1166
01146,416
01147,476
01148,1845
01149,1036
01150,222
01151,1150
01152,764
01153,2158
01154,820
01155,144
01156,781
01157,2180
01158,972
01159,3225
01160,9337
01162,65
01163,2029
01165,1515
01166,2196
01167,660
01169,583
01170,1011
01171,917
01172,147
01173,11141
01174,175
01175,842
01176,
01177,177
01179,1908
01180,786
01181,1187
01182,
01183,1423
01184,793
01185,3829
01186,87
01187,701
01188,601
01189,1144
01190,115
01191,173
01192,2294
01193,231
01194,6222
01195,1709
01196,1124
01197,356
01198,276
01199,2192
01200,210
01202,6953
01203,1191
01204,699
01205,1028
01206,262
01207,341
01208,137
01209,687
01210,238
01211,1426
01212,708
01213,1248
01214,152
01215,49
01216,884
01218,96
01219,166
01221,115
01224,3158
01225,395
01227,458
01228,639
01229,1149
01230,306
01231,1976
01232,2205
01233,130
01234,172
01235,1032
01236,987
01237,1573
01238,2482
01239,635
01240,649
01241,1310
01242,124
01243,1224
01244,7539
01245,884
01246,2137
01247,348
01248,2130
01249,9425
01250,1877
01252,779
01254,1893
01255,584
01257,343
01258,1211
01259,663
01260,272
01261,655
01262,7036
01263,3811
01264,1013
01265,3409
01266,2452
01267,1027
01268,253
01269,3534
01271,
01272,1494
01273,1645
01274,638
01275,2467
01276,1529
01277,119
01279,96
01280,157
01281,4303
01282,258
01283,22485
01284,659
01285,1153
01286,936
01288,2489
01289,6196
01290,1206
01291,796
