ogc_fid,code_insee,statut,url_carto
1,21001,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21001
2,21004,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21004
3,21008,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21008
4,21013,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21013
5,21014,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21014
6,21017,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21017
7,21018,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21018
8,21022,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21022
9,21023,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21023
10,21024,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21024
11,21026,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21026
12,21028,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21028
13,21030,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21030
14,21031,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21031
15,21032,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21032
16,21033,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21033
17,21035,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21035
18,21037,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21037
19,21038,CONCERNEE,http://carmen.application.developpement-durable.gouv.fr/9/Nature_Paysage.map&layer=Communes%20/%20R%C3%A9seau%20NATURA%202000&object=Commune;INSEE_Commune;21038
